"Component","Package","Value","Manuf","Manuf Part No","Distrib","Distrib Part No","Ref Name","Qty"
"+3.3V","","","","","","","REF5 REF8 REF15 REF13 REF14 REF17 REF16","7"
"+12V","","","","","","","REF19","1"
"1.0k ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ102V","Digikey","P1.0KECT-ND","R12 R16","2"
"1N4148","SM","","NXP","PMLL4148L,135","Digikey","568-8106-1-ND","D1 D2 D3 D4","4"
"1x6 Header","DIL","","","","","","J6","1"
"2x5 Header","SM","","Molex Inc","0015912100","Digikey","WM17451-ND","J3 J4","2"
"2.2uF 50V Y5V","SM1206","","TDK","C3216Y5V1H225Z/0.85","Digikey","445-4585-1-ND","C1 C2 C3","3"
"3.0k ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ302V","Digikey","P3.0KECT-ND","R13","1"
"3.3V D2-Pak [LD1086]","SMS4","","ST Microelectroincs","LD1086D2T33TR","Digikey","497-1224-1-ND","U2","1"
"8Mhz Crystal","SM","","ECS Inc","ECS-80-20-5PXDU-TR","Digikey","XC1526CT-ND","XTAL1","1"
"8.2k ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ822V","Digikey","P8.2KECT-ND","R17","1"
"10 ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ100V","Digikey","P10ECT-ND","R7 R8","2"
"10k ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ103V","Digikey","P10KECT-ND","R1 R2 R5 R6 R11 R14 R15","7"
"10uF 25V X7R","SM1206","","Taiyo Yuden","TMK316B7106KL-TD","Digikey","587-2399-1-ND","C4 C7 C8 C10 C13 C16 C19","7"
"20pF 50V NPO","SM1206","","Yayeo","CC1206JRNPO9BN200","Digikey","311-1153-1-ND","C5 C6","2"
"56 ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ560V","Digikey","P56ECT-ND","R9 R10","2"
"100nF 50V X7R","SM1206","","TDK","C3216X7R1H104K","Digikey","445-4007-1-ND","C11 C14 C12 C17 C9 C15 C18 C21","8"
"220 ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ221V","Digikey","P220ECT-ND","R18 R19","2"
"220k ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ224V","Digikey","P220KECT-ND","R3 R4","2"
"ACS711","SM","","Allegro","ACS711ELCTR-12AB-T","Digikey","620-1370-1-ND","U1","1"
"ANSI D","MISC","","","","","","A1","1"
"BZX84C18","SM","","On Semi","BZX84C18LT1G","Digikey","BZX84C18LT1GOSCT-ND","ZD1 ZD2","2"
"C&K SPST Single Stroke Switch","SM","","C&K","CKN10223CT-ND","Digikey","CKN10223CT-ND","SW1","1"
"DMN6040SSD","SM","","Diodes Inc","DMN6040SSD","Digikey","DMN6040SSD-13DICT-ND","Q3 Q4","2"
"dsPIC33EP64MC502","SM","","Microchip","DSPIC33EP64MC502-I/SO","Digikey","DSPIC33EP64MC502-I/SO-ND","U3","1"
"FROM","","","","","","","REF168 REF169 REF24 REF20 REF25 REF36 REF37 REF38 REF28 REF39 REF40 REF41","12"
"GND","","","","","","","REF1 REF2 REF3 REF4 REF9 REF10 REF65 REF66 REF61 REF152 REF165 REF97 REF45 REF47 REF48 REF52 REF54 REF55 REF56 REF57 REF58 REF62 REF98 REF99 REF100 REF101 REF102 REF21 REF67 REF68","30"
"HCPL817","SM","","Avago","HCPL-817-50AE","Digikey","516-2226-1-ND","U9 U10","2"
"ISO1050","SM","","Texas Instruments","296-24818-1-ND","Digikey","296-24818-1-ND","U5","1"
"LM324","SM","","Texas Instruments","LM324ADR","Digikey","296-9540-1-ND","U7","1"
"PESD1CAN","SM","","NXP Semiconductor","PESD1CAN,215","Digikey","568-4032-1-ND","U4","1"
"RJ45 Amphinol Dual SMT OpenLCB","SM","","Amphenol","RJSSE-5080-02","Digikey","RJSSE-5080-02-ND","J5","1"
"Terminal Block 2 Wire - 100mil","DIL","","TE Connectivity","282834-2","Digikey","A98333-ND","J1 J2","2"
"Terminal Block 3 Wire-100mil","Q_SIL","","TE Connectivity","282834-3","Digikey","A98334-ND","CONN1 CONN2","2"
"TL317","SM","","Texas Instruments","TL317CD","Digikey","296-11823-5-ND","U6 U8","2"
"TO","","","","","","","REF6 REF7 REF11 REF12 REF26 REF29 REF30 REF31 REF35 REF18 REF34 REF32 REF33","13"
"TortoiseEdge","Q_SIL","","","","","","Q1","1"
"","","","","","","","","132"
PCB Artist Bill of Materials is provided for reference only and must be verified by the user.
